,sim_num,date_quarantined,q_on_ind_on,q_on_ind_off,q_on_ind_on_off,q_off_ind_on,q_off_ind_off,q_off_ind_on_off
435,4,2020-09-05,0,0,0,0,0,0
436,4,2020-09-06,0,0,0,0,0,0
437,4,2020-09-07,0,0,0,0,0,0
438,4,2020-09-08,0,0,0,0,0,0
439,4,2020-09-09,0,0,0,0,0,0
440,4,2020-09-10,0,0,0,0,0,0
441,4,2020-09-11,0,0,0,0,0,0
442,4,2020-09-12,0,0,0,0,0,0
443,4,2020-09-13,0,0,0,0,0,0
444,4,2020-09-14,0,0,0,0,0,0
445,4,2020-09-15,0,0,0,0,0,0
446,4,2020-09-16,0,0,0,0,0,0
447,4,2020-09-17,3,0,0,0,0,0
448,4,2020-09-18,3,0,0,0,0,0
449,4,2020-09-19,0,0,0,0,0,0
450,4,2020-09-20,13,0,0,0,0,0
451,4,2020-09-21,2,0,0,0,0,0
452,4,2020-09-22,0,0,0,0,0,0
453,4,2020-09-23,1,0,0,0,0,0
454,4,2020-09-24,2,0,0,0,0,0
455,4,2020-09-25,1,0,0,0,0,0
456,4,2020-09-26,0,0,0,0,0,0
457,4,2020-09-27,6,0,0,0,0,0
458,4,2020-09-28,0,0,0,0,0,0
459,4,2020-09-29,3,0,0,0,0,0
460,4,2020-09-30,1,0,0,0,0,0
461,4,2020-10-01,1,0,0,0,0,0
462,4,2020-10-02,0,0,0,0,0,0
463,4,2020-10-03,0,0,0,0,0,0
464,4,2020-10-04,3,0,0,0,0,0
465,4,2020-10-05,5,0,0,0,0,0
466,4,2020-10-06,0,0,0,0,0,0
467,4,2020-10-07,3,0,0,0,0,0
468,4,2020-10-08,0,0,0,0,0,0
469,4,2020-10-09,0,0,0,0,0,0
470,4,2020-10-10,1,0,0,0,0,0
471,4,2020-10-11,0,0,0,0,0,0
472,4,2020-10-12,0,0,0,0,0,0
473,4,2020-10-13,1,0,0,0,0,0
474,4,2020-10-14,1,0,0,0,0,0
475,4,2020-10-15,0,0,0,0,0,0
476,4,2020-10-16,23,0,0,0,0,0
477,4,2020-10-17,0,0,0,0,0,0
478,4,2020-10-18,3,0,0,0,0,0
479,4,2020-10-19,1,0,0,0,0,0
480,4,2020-10-20,0,0,0,0,0,0
481,4,2020-10-21,2,0,0,1,0,0
482,4,2020-10-22,0,0,0,0,0,0
483,4,2020-10-23,3,0,0,0,0,0
484,4,2020-10-24,0,0,0,0,0,0
485,4,2020-10-25,0,0,0,0,0,0
486,4,2020-10-26,0,0,0,0,0,0
487,4,2020-10-27,0,0,0,0,0,0
488,4,2020-10-28,1,0,0,0,0,0
489,4,2020-10-29,2,0,0,0,0,0
490,4,2020-10-30,2,0,0,0,0,0
491,4,2020-10-31,0,2,0,0,0,0
492,4,2020-11-01,0,0,0,0,0,0
493,4,2020-11-02,1,0,0,0,0,0
494,4,2020-11-03,11,0,0,0,0,0
495,4,2020-11-04,0,0,0,0,0,0
496,4,2020-11-05,3,0,0,0,0,0
497,4,2020-11-06,4,7,0,1,0,0
498,4,2020-11-07,1,0,0,0,0,0
499,4,2020-11-08,1,0,0,0,0,0
500,4,2020-11-09,4,0,0,0,0,0
501,4,2020-11-10,0,0,0,0,0,0
502,4,2020-11-11,0,0,0,0,0,0
503,4,2020-11-12,1,0,0,0,0,0
504,4,2020-11-13,3,0,0,0,0,0
505,4,2020-11-14,0,0,0,0,0,0
506,4,2020-11-15,0,0,0,0,0,0
507,4,2020-11-16,1,0,0,0,0,0
508,4,2020-11-17,0,0,0,0,0,0
509,4,2020-11-18,0,0,0,0,0,0
510,4,2020-11-19,0,0,0,0,0,0
